METALSIONS	Saccharomyces cerevisiae	Ca2+	*	*
METALSIONS	Saccharomyces cerevisiae	Co2+	*	*
METALSIONS	Saccharomyces cerevisiae	Co2+	*	*metal ion required. Order of decreasing effectiveness: Co2+, Ni2+, Mg2+, Zn2+, Mn2+, isoform yNMNAT-2; metal ion required. Order of decreasing effectiveness: Ni2+, Zn2+, Co2+, Mg2+, Mn2+, isoform yNMNAT-1
METALSIONS	Saccharomyces cerevisiae	Divalent cations	*	*
METALSIONS	Saccharomyces cerevisiae	Mg2+	*	*requirement
METALSIONS	Saccharomyces cerevisiae	Mg2+	*	*
METALSIONS	Saccharomyces cerevisiae	Mg2+	*	*metal ion required. Order of decreasing effectiveness: Co2+, Ni2+, Mg2+, Zn2+, Mn2+, isoform yNMNAT-2; metal ion required. Order of decreasing effectiveness: Ni2+, Zn2+, Co2+, Mg2+, Mn2+, isoform yNMNAT-1
METALSIONS	Saccharomyces cerevisiae	Mg2+	*	*required
METALSIONS	Saccharomyces cerevisiae	Mn2+	*	*metal ion required. Order of decreasing effectiveness: Co2+, Ni2+, Mg2+, Zn2+, Mn2+, isoform yNMNAT-2; metal ion required. Order of decreasing effectiveness: Ni2+, Zn2+, Co2+, Mg2+, Mn2+, isoform yNMNAT-1
METALSIONS	Saccharomyces cerevisiae	Ni2+	*	*optimal activity at 5 mM
METALSIONS	Saccharomyces cerevisiae	Ni2+	*	*
METALSIONS	Saccharomyces cerevisiae	Ni2+	*	*metal ion required. Order of decreasing effectiveness: Co2+, Ni2+, Mg2+, Zn2+, Mn2+, isoform yNMNAT-2; metal ion required. Order of decreasing effectiveness: Ni2+, Zn2+, Co2+, Mg2+, Mn2+, isoform yNMNAT-1
METALSIONS	Saccharomyces cerevisiae	Zn2+	*	*metal ion required. Order of decreasing effectiveness: Co2+, Ni2+, Mg2+, Zn2+, Mn2+, isoform yNMNAT-2; metal ion required. Order of decreasing effectiveness: Ni2+, Zn2+, Co2+, Mg2+, Mn2+, isoform yNMNAT-1
