KM	Mus musculus	0.1	GDPglucose	*pH 7.4, 30&deg;C
KM	Mus musculus	0.8	diphosphate	*pH 7.4, 30&deg;C
PATH	*	GDP-glucose biosynthesis	*	*
PATH	*	Starch and sucrose metabolism	*	*
PATH	*	Amino sugar and nucleotide sugar metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Mus musculus	0.046	*	*
SA	Pyrococcus horikoshii	0.2	*	*with dGTP and alpha-D-glucose 1-phosphate, purified His-tagged recombinant enzyme, pH 7.6, 85&deg;C
SA	Pyrococcus horikoshii	0.5	*	*with dGTP and alpha-D-glucosamine 1-phosphate, purified His-tagged recombinant enzyme, pH 7.6, 85&deg;C
SA	Pyrococcus horikoshii	5.2	*	*with GTP and alpha-D-glucose 1-phosphate, purified His-tagged recombinant enzyme, pH 7.6, 85&deg;C
SA	Pyrococcus horikoshii	7.3	*	*with GTP and alpha-D-glucosamine 1-phosphate, purified His-tagged recombinant enzyme, pH 7.6, 85&deg;C
