KM	Papaver somniferum	0.0006	(R,S)-stylopine	*varying concentration from 0.5 to 32 microM at a saturating concentration of 20 microM of S-adenosyl-L-methionine
KM	Papaver somniferum	0.0006	(S)-Stylopine	*
KM	Sanguinaria canadensis	0.0012	S-adenosyl-L-methionine	*
KM	Corydalis vaginans	0.0017	S-adenosyl-L-methionine	*
KM	Sanguinaria canadensis	0.0021	(S)-7,8,13,14-tetrahydroprotoberberine	*
KM	Corydalis vaginans	0.0031	(S)-Stylopine	*
KM	Eschscholzia californica	0.004	(S)-Stylopine	*
KM	Eschscholzia californica	0.0064	(S)-canadine	*
KM	Corydalis vaginans	0.007	(S)-canadine	*
KM	Papaver somniferum	0.0115	S-adenosyl-L-methionine	*; varying concentration from 0.625 to 40 microM, at a saturating concentration of 50 microM of (R,S)-stylopine
KM	Eschscholzia californica	0.012	S-adenosyl-L-methionine	*
MW	Sanguinaria canadensis	39000	*	*2 * 39000, SDS-PAGE
MW	Papaver somniferum	48000	*	*
MW	Sanguinaria canadensis	70000	*	*gel filtration
MW	Corydalis vaginans	72000	*	*gel filtration
MW	Corydalis vaginans	72000	*	*gel filtration
MW	Eschscholzia californica	78000	*	*gel filtration
PATH	*	chelerythrine biosynthesis	*	*
PATH	*	noscapine biosynthesis	*	*
PATH	*	Isoquinoline alkaloid biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
SA	Sanguinaria canadensis	-999	*	*
SA	Eschscholzia californica	-999	*	*
SA	Papaver somniferum	-999	*	*phylogenetic analysis to examine possible evolutionary relationships, strict substrate specificity of recombinant enzyme, expression induced in cultured cells after treatment with a fungal elicitor
