KM	Corynebacterium sp.	0.077	styrene oxide	*pH 7.0, 25&Acirc;&deg;C
PATH	*	Styrene degradation	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Pseudomonas fluorescens	4.1	*	*crude cell extract, at pH 7.2 and 37&Acirc;&deg;C
SA	Rhodococcus opacus	5.12	*	*styrene-grown cell extract, pH 7.2, 22&Acirc;&deg;C
SA	Xanthobacter sp.	6.035	*	*
SA	Pseudomonas fluorescens	9.79	*	*after 2.4fold purification, at pH 7.2 and 37&Acirc;&deg;C
SA	Sphingopyxis fribergensis	32.2	*	*crude cell extract, at pH 7.2 and 37&Acirc;&deg;C
SA	Rhodococcus opacus	42.1	*	*partially purified enzyme, pH 7.2, 22&Acirc;&deg;C
SA	Corynebacterium sp.	58.7	*	*
SA	Rhodococcus opacus	75.9	*	*crude cell extract, at pH 7.2 and 37&Acirc;&deg;C
SA	Sphingopyxis fribergensis	89.7	*	*after 2.8fold purification, at pH 7.2 and 37&Acirc;&deg;C
SA	Rhodococcus opacus	91.7	*	*partially purified enzyme, pH 7.2, 65&Acirc;&deg;C
SA	Rhodococcus opacus	150	*	*after 2fold purification, at pH 7.2 and 37&Acirc;&deg;C
