KCAT	Synechocystis sp.	-999	more	*
KCAT	Escherichia coli	0.13	L-glutamyl-tRNAGlu	*pH 8.1, 37&deg;C
KCAT	Escherichia coli	0.15	NADPH	*pH 8.1, 37&deg;C
KM	Escherichia coli	0.024	L-glutamyl-tRNAGlu	*pH 8.1, 37&deg;C
KM	Escherichia coli	0.039	NADPH	*pH 8.1, 37&deg;C
PATH	*	tetrapyrrole biosynthesis I (from glutamate)	*	*
PATH	*	heme metabolism	*	*
PATH	*	Porphyrin and chlorophyll metabolism	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Hordeum vulgare	-999	*	*
SA	Chlamydomonas reinhardtii	-999	*	*
SA	Hordeum vulgare	0.12	*	*fusion protein with glutathione S-transferase
SA	Escherichia coli	0.47	*	*
