KCAT	Bordetella bronchiseptica	11.7	Maleamate	*pH 7.5, 25&Acirc;&deg;C
KM	Bordetella bronchiseptica	0.128	Maleamate	*pH 7.5, 25&deg;C
MW	Bordetella bronchiseptica	44100	*	*4 * 44100, calculated
MW	Bordetella bronchiseptica	86000	*	*gel fitlration
PATH	*	nicotinate degradation I	*	*
PATH	*	nicotinate degradation II	*	*
PATH	*	nicotine degradation II (pyrrolidine pathway)	*	*
PATH	*	nicotine degradation III (VPP pathway)	*	*
PATH	*	Nicotinate and nicotinamide metabolism	*	*
PATH	*	Microbial metabolism in diverse environments	*	*
SA	Pseudomonas putida	0.0193	*	*
