KCAT	Schizosaccharomyces pombe	11	7-methyl-6-thioguanosine	*pH 7.0, 30&deg;C, recombinant enzyme
KM	Rhodnius prolixus	0.421	1D-myo-inositol 1,4,5-trisphosphate	*
KM	Homo sapiens	0.028	Inositol 1,3,4,5-tetrakisphosphate	*
KM	Homo sapiens	0.123	Inositol 1,4,5-trisphosphate	*
KM	Cavia porcellus	0.143	phosphatidyl-myo-inositol 4,5-bisphosphate	*
KM	Crithidia fasciculata	0.24	phosphatidyl-myo-inositol 4,5-bisphosphate	*
KM	Homo sapiens	0.25	phosphatidyl-myo-inositol 4,5-bisphosphate	*
KM	Homo sapiens	0.27	phosphatidyl-myo-inositol 4,5-bisphosphate	*
KM	Schizosaccharomyces pombe	0.056	7-methyl-6-thioguanosine	*pH 7.0, 30&Acirc;&deg;C, recombinant enzyme
KM	Schizosaccharomyces pombe	-999	more	*kinetics, substrate specificity, overview
KM	Arabidopsis thaliana	-999	more	*kinetics
KM	Rhodnius prolixus	-999	more	*with soluble diC8 D-myo-phosphatidylinositol 4,5-bisphosphate as a substrate, sigmoidal kinetics are observed, suggesting the presence of allosteric activation sites
MW	Rhodnius prolixus	36500	*	*deduced from cDNA
MW	Crithidia fasciculata	57000	*	*x * 57000, formation of larger aggregates in the absence of salt, SDS-PAGE
MW	Mus musculus	72000	*	*x * 72000, SDS-PAGE and deduced from gene sequence
MW	Homo sapiens	100000	*	*x * 100000, SDS-PAGE
MW	Homo sapiens	104000	*	*gel filtration
MW	Crithidia fasciculata	114000	*	*gel filtration
MW	Bos taurus	115000	*	*x * 115000, SDS-PAGE
MW	Homo sapiens	145000	*	*
MW	Homo sapiens	170000	*	*
PATH	*	3-phosphoinositide degradation	*	*
PATH	*	Inositol phosphate metabolism	*	*
PATH	*	Metabolic pathways	*	*
SA	Bos taurus	-999	*	*
SA	Homo sapiens	-999	*	*the adaptor protein APS, which specifically interacts with SHIP2, increases the PtdIns(3,4,5)P3 5-phosphatase activity of SHIP2 (76.7% at 3 microM APS and by 111.3% at 6 microM APS)
SA	Crithidia fasciculata	0.044	*	*
SA	Homo sapiens	0.765	*	*
SA	Crithidia fasciculata	63.8	*	*
