KM	Mus musculus	21	pyruvate	*cosubstrate L-histidine, pH 8.9, 37&Acirc;&deg;C
KM	Mus musculus	6.9	histidine	*cosubstrate pyruvate, pH 8.9, 37&Acirc;&deg;C
MW	Mus musculus	71000	*	*gel filtration
MW	Mus musculus	75000	*	*sucrose density gradient centrifugation
PATH	*	L-histidine degradation V	*	*
PATH	*	L-homophenylalanine biosynthesis	*	*
PATH	*	L-phenylalanine degradation III	*	*
PATH	*	L-tyrosine degradation III	*	*
PATH	*	histidine metabolism	*	*
PATH	*	phenylalanine metabolism	*	*
PATH	*	tyrosine metabolism	*	*
PATH	*	Tyrosine metabolism	*	*
PATH	*	Phenylalanine metabolism	*	*
PATH	*	Phenylalanine, tyrosine and tryptophan biosynthesis	*	*
PATH	*	Tropane, piperidine and pyridine alkaloid biosynthesis	*	*
PATH	*	Metabolic pathways	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
PATH	*	Biosynthesis of antibiotics	*	*
SA	Mus musculus	13.8	*	*L-histidine with pyruvate, pH 8.9, 37&deg;C
