KM	Berberis stolonifera	0.67	4-hydroxyphenylpyruvate	*
MW	Berberis stolonifera	30000	*	*HPLC gel filtration
PATH	*	(S)-reticuline biosynthesis I	*	*
PATH	*	L-tyrosine degradation III	*	*
PATH	*	methionine metabolism	*	*
PATH	*	tyrosine metabolism	*	*
PATH	*	Tyrosine metabolism	*	*
PATH	*	Isoquinoline alkaloid biosynthesis	*	*
PATH	*	Biosynthesis of secondary metabolites	*	*
SA	Berberis aristata	-999	*	*values given as pkat/litre of suspension culture
SA	Berberis julianae	-999	*	*values given as pkat/litre of suspension culture
SA	Berberis regeliana	-999	*	*values given as pkat/litre of suspension culture
SA	Eschscholzia californica	-999	*	*values given as pkat/litre of suspension culture
SA	Hyalosepalum caffrum	-999	*	*values given as pkat/litre of suspension culture
SA	Thalictrum dipterocarpum	-999	*	*values given as pkat/litre of suspension culture
SA	Thalictrum minus	-999	*	*values given as pkat/litre of suspension culture
SA	Tinospora cordifolia	-999	*	*values given as pkat/litre of suspension culture
SA	Berberis stolonifera	0.001271	*	*
